Satis Elemani Kodu;Код Контрагента;Контрагент;Ziyaret Gunu
BAH001;120.01.101.0267;TRADE INVEST BARAKA MCHJ;Sali
BAH001;120.01.108.0276;GOOD CORN PRODUCTS;Pazartesi
BAH001;120.01.110.0363;CHAYKA SHOP MCHJ;Pazartesi
BAH001;120.01.101.0152;SHOAFZAL NUR SAVDO MCHZH.;Pazartesi
BAH001;120.01.110.0052;SHOSH TRADE 70 MCHJ;Pazartesi
BAH001;120.01.110.0362;IMMOBIL TRADE GROUP XK;Pazartesi
BAH001;120.01.110.0316;E-MAKAUS TRADE;Pazartesi
BAH001;120.01.110.1015;MAHALLA9O MCHJ;Pazartesi
BAH001;120.01.110.0326;SARVAR BIZNES SAVDO MCHJ;Pazartesi
BAH001;120.01.106.0600;HAPPY BEAN SUPERMARKET;Pazartesi
BAH001;120.01.110.0048;NASRIDDIN SAVDO BIZNES MCHJ;Pazartesi
BAH001;120.01.110.0300;MAVLONOVICH GROUP;Pazartesi
BAH001;120.01.110.0591;MCHJ ASSARTI DISCOUNT MARKET (YUNUSOBOD);Pazartesi
BAH001;120.01.107.0002;MOTABAR MARKET;Pazartesi
BAH001;120.01.104.0937; IDEAL FUTURE TRADE MCHJ (ABDULLAEV QAXRAMON 12 05);Pazartesi
BAH001;120.01.101.0268;WELL-LUX-TRADE;Pazartesi
BAH001;120.01.101.0034;MEHR MAKS SERVIS MCHJ;Pazartesi
BAH001;120.01.101.0474;BALLI 20 MARKET;Pazartesi
BAH001;120.01.101.0271;SIROJ BIZNES XK;Pazartesi
BAH001;120.01.101.0173;ALO ANVARA BIZNESS MCHJ;Pazartesi
BAH001;120.01.108.0257;BALANC CITY MCHJ;Pazartesi
BAH001;120.01.108.0035;DIYONAT HAMKOR SERVIS XK;Pazartesi
BAH001;120.01.108.0165;JAVOHIR FAYZ XAMKOR (03 09) / (MUBORAK TUXFA MCHJ);Pazartesi
BAH001;120.01.108.0333;TRADE MART GROUP MCHJ;Pazartesi
BAH001;120.01.107.0029;ASSORTI-GROUP XK;Pazartesi
BAH001;120.01.107.0206;AZIZ XIDOYAT MCHJ;Pazartesi
BAH001;120.01.107.0208;DILOROM XIDOYAT MCHJ;Pazartesi
BAH001;120.01.107.0215;EASY COMMUNICATION MCHJ;Pazartesi
BAH001;120.01.107.0118;NOBLE GROUP MCHJ;Pazartesi
BAH001;120.01.110.1048;ZUFAROVA GULNOZA ZIKRILLAEVNA;Pazartesi
BAH001;120.01.110.0352;MAHMUDOVICH GROUP MCHJ;Pazartesi
BAH001;120.01.070.0013;CIFRA B MCHJ;Pazartesi
BAH001;120.01.108.0276;GOOD CORN PRODUCTS;Sali
BAH001;120.01.110.0363;CHAYKA SHOP MCHJ;Sali
BAH001;120.01.101.0152;SHOAFZAL NUR SAVDO MCHZH.;Sali
BAH001;120.01.110.0052;SHOSH TRADE 70 MCHJ;Sali
BAH001;120.01.110.0362;IMMOBIL TRADE GROUP XK;Sali
BAH001;120.01.110.0316;E-MAKAUS TRADE;Sali
BAH001;120.01.110.1015;MAHALLA9O MCHJ;Sali
BAH001;120.01.110.0326;SARVAR BIZNES SAVDO MCHJ;Sali
BAH001;120.01.106.0600;HAPPY BEAN SUPERMARKET;Sali
BAH001;120.01.110.0048;NASRIDDIN SAVDO BIZNES MCHJ;Sali
