Источник;Код;Замечание
lever;ULSTP0101;супервайзер без агентов
mx;MX2001;нет супервайзера в файле
mx;MXBM;нет супервайзера в файле
mx;MXKA;нет супервайзера в файле
kalina;MXHR01;встречается у двух супервайзеров: MXS0101 и KLS0101
kalina;KL2001;нет супервайзера в файле
kalina;KL2501;нет супервайзера в файле
kalina;KL7501;нет супервайзера в файле
kalina;KL7601;нет супервайзера в файле
kalina;KL8501;нет супервайзера в файле
kalina;KL8502;нет супервайзера в файле
kalina;KL9501;нет супервайзера в файле
kalina;KL9502;нет супервайзера в файле
kalina;KL4501;нет супервайзера в файле
kalina;KL4502;нет супервайзера в файле
kalina;KL5001;нет супервайзера в файле
kalina;KL5002;нет супервайзера в файле
kalina;KLBM;нет супервайзера в файле
kalina;KLKA;нет супервайзера в файле
kalina;KLTM02;нет супервайзера в файле
jd;JD0101;нет супервайзера в файле
jd;JD0102;нет супервайзера в файле
jd;JD0103;нет супервайзера в файле
jd;JD0104;нет супервайзера в файле
jd;JD0106;нет супервайзера в файле
jd;JD0111;нет супервайзера в файле
jd;JD0112;нет супервайзера в файле
jd;JD0105;нет супервайзера в файле
jd;JD0107;нет супервайзера в файле
jd;JD0113;нет супервайзера в файле
jd;JD0114;нет супервайзера в файле
jd;JD0108;нет супервайзера в файле
jd;JD0115;нет супервайзера в файле
jd;JD0109;нет супервайзера в файле
jd;JD0117;нет супервайзера в файле
jd;JD0110;нет супервайзера в файле
jd;JD0118;нет супервайзера в файле
jd;JD0119;нет супервайзера в файле
jd;JD0120;нет супервайзера в файле
jd;JD0121;нет супервайзера в файле
jd;JD0122;нет супервайзера в файле
jd;JD1001;нет супервайзера в файле
jd;JD1002;нет супервайзера в файле
jd;JD1003;нет супервайзера в файле
jd;JD1006;нет супервайзера в файле
jd;JD1007;нет супервайзера в файле
jd;JD1008;нет супервайзера в файле
jd;JD1009;нет супервайзера в файле
jd;JD1010;нет супервайзера в файле
jd;JD2001;нет супервайзера в файле
jd;JD2002;нет супервайзера в файле
jd;JD6001;нет супервайзера в файле
jd;JD6002;нет супервайзера в файле
jd;JD6003;нет супервайзера в файле
jd;JD6004;нет супервайзера в файле
jd;JD5001;нет супервайзера в файле
jd;JD5002;нет супервайзера в файле
jd;JD5003;нет супервайзера в файле
jd;JD5004;нет супервайзера в файле
jd;JD4001;нет супервайзера в файле
jd;JD4002;нет супервайзера в файле
jd;JD4003;нет супервайзера в файле
jd;JD4501;нет супервайзера в файле
jd;JD4502;нет супервайзера в файле
jd;JD4503;нет супервайзера в файле
jd;JD3001;нет супервайзера в файле
jd;JD3002;нет супервайзера в файле
jd;JD3003;нет супервайзера в файле
jd;JD3004;нет супервайзера в файле
jd;JD3005;нет супервайзера в файле
jd;JD3006;нет супервайзера в файле
jd;JD7601;нет супервайзера в файле
jd;JD7602;нет супервайзера в файле
jd;JD7001;нет супервайзера в файле
jd;JD7002;нет супервайзера в файле
jd;JD7003;нет супервайзера в файле
jd;JD7101;нет супервайзера в файле
jd;JD7501;нет супервайзера в файле
jd;JD7502;нет супервайзера в файле
jd;JD8001;нет супервайзера в файле
jd;JD8002;нет супервайзера в файле
jd;JD8003;нет супервайзера в файле
jd;JD8004;нет супервайзера в файле
jd;JD8005;нет супервайзера в файле
jd;JD8501;нет супервайзера в файле
jd;JD8502;нет супервайзера в файле
jd;JD8503;нет супервайзера в файле
jd;JD8504;нет супервайзера в файле
jd;JD8601;нет супервайзера в файле
jd;JD9001;нет супервайзера в файле
jd;JD9002;нет супервайзера в файле
jd;JD9003;нет супервайзера в файле
jd;JD9501;нет супервайзера в файле
jd;JD9502;нет супервайзера в файле
база;BAH001;агент есть в базе, но не найден в файле
база;BAH002;агент есть в базе, но не найден в файле
база;BRD000;агент есть в базе, но не найден в файле
база;DMF001;агент есть в базе, но не найден в файле
база;DMF002;агент есть в базе, но не найден в файле
база;DMF003;агент есть в базе, но не найден в файле
база;FMKA0101;агент есть в базе, но не найден в файле
база;FMTOP1;агент есть в базе, но не найден в файле
база;FMTOP2;агент есть в базе, но не найден в файле
база;JD0101;агент есть в базе, но не найден в файле
база;JD0102;агент есть в базе, но не найден в файле
база;JD0103;агент есть в базе, но не найден в файле
база;JD0104;агент есть в базе, но не найден в файле
база;JD0105;агент есть в базе, но не найден в файле
база;JD0106;агент есть в базе, но не найден в файле
база;JD0107;агент есть в базе, но не найден в файле
база;JD0108;агент есть в базе, но не найден в файле
база;JD0109;агент есть в базе, но не найден в файле
база;JD0110;агент есть в базе, но не найден в файле
база;JD0111;агент есть в базе, но не найден в файле
база;JD0112;агент есть в базе, но не найден в файле
база;JD0113;агент есть в базе, но не найден в файле
база;JD0114;агент есть в базе, но не найден в файле
